timestamp_utc,engine,symbol,reason,score,metrics
2026-05-06T20:00:56.727927+00:00,orderflow,CLUSDT,trade_notional_too_low,,tape_total=0 | min=30000.0
2026-05-06T20:00:57.186999+00:00,orderflow,ENAUSDT,trade_notional_too_low,,tape_total=664.79 | min=30000.0
2026-05-06T20:00:57.592819+00:00,orderflow,ICPUSDT,trade_notional_too_low,,tape_total=3234.01 | min=30000.0
2026-05-06T20:00:58.369162+00:00,orderflow,DASHUSDT,trade_notional_too_low,,tape_total=9463.12 | min=30000.0
2026-05-06T20:01:11.284640+00:00,orderflow,BTCUSDT,reward_to_r1_too_low,4.3,early_score=4.3 | support_dist_bps=38.5 | imbalance=0.17 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.34 | reward_to_r1=0.176 | resistance_1=81448.8 | resistance_2=81892.094472 | tp1_buffer_bps=12.0 | tp2_buffer_bps=18.0
2026-05-06T20:01:11.868991+00:00,orderflow,ETHUSDT,reward_to_r1_too_low,4.3,early_score=4.3 | support_dist_bps=32.88 | imbalance=-0.327 | bid_persistence=0.0 | support_holds=5 | compression_ratio=0.614 | reward_to_r1=0.201 | resistance_1=2348.42 | resistance_2=2359.6326308 | tp1_buffer_bps=12.0 | tp2_buffer_bps=18.0
2026-05-06T20:01:12.603235+00:00,orderflow,SOLUSDT,early_score_too_low,2.3,early_score=2.3 | support_dist_bps=42.21 | imbalance=-0.152 | bid_persistence=0.0 | support_holds=2 | compression_ratio=0.643
2026-05-06T20:01:13.500932+00:00,orderflow,TONUSDT,early_score_too_low,1.8,early_score=1.8 | support_dist_bps=59.66 | imbalance=-0.633 | bid_persistence=0.0 | support_holds=1 | compression_ratio=0.698
2026-05-06T20:01:13.897754+00:00,orderflow,ZECUSDT,trade_notional_too_low,,tape_total=5252.84 | min=30000.0
2026-05-06T20:01:14.285334+00:00,orderflow,LABUSDT,early_score_too_low,3.0,early_score=3.0 | support_dist_bps=282.38 | imbalance=-0.474 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.511
2026-05-06T20:01:14.834202+00:00,orderflow,XRPUSDT,trade_notional_too_low,,tape_total=5308.1 | min=30000.0
2026-05-06T20:01:15.238737+00:00,orderflow,DOGEUSDT,trade_notional_too_low,,tape_total=16526.86 | min=30000.0
2026-05-06T20:01:15.671488+00:00,orderflow,HYPEUSDT,trade_notional_too_low,,tape_total=6282.88 | min=30000.0
